"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"1059";"Kriens";4;"bew_mie_z6_t";183;"U"
"1059";"Kriens";4;"bew_mie_z6_ic";0.4;"U"
"6421";"La Chaux-de-Fonds";4;"bew_mie_t";21345;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_t_ic";0.03;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z1_t";617;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z1_ic";0.2;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z2_t";2745;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z2_ic";0.1;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z3_t";9435;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z3_ic";0.1;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z4_t";6321;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z4_ic";0.1;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z5_t";1864;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z5_ic";0.1;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z6_t";362;"A"
"6421";"La Chaux-de-Fonds";4;"bew_mie_z6_ic";0.3;"A"
"6628";"Lancy";4;"bew_mie_t";19858;"A"
"6628";"Lancy";4;"bew_mie_t_ic";0.05;"A"
"6628";"Lancy";4;"bew_mie_z1_t";459;"A"
"6628";"Lancy";4;"bew_mie_z1_ic";0.3;"A"
